gene	observed CpG	expected CpG	CpG bias
g157	126	252.07	0.4999
g158	96	181.91	0.5277
g159	186	428.86	0.4337
g160	7	18.36	0.3813
g161	41	150.7	0.2721
g162	29	33.74	0.8595
g163	298	537.75	0.5542
g164	176	284.66	0.6183
g165	203	309.42	0.6561
g166	30	42.17	0.7114
g167	484	739.58	0.6544
g168	15	53.45	0.2806
g169	44	70.47	0.6244
g170	75	147.2	0.5095
g171	153	255.97	0.5977
g172	215	236.22	0.9102
g173	275	691.4	0.3977
g174	171	188.67	0.9063
g175	502	604.34	0.8307
g176	95	265.75	0.3575
g177	57	112.81	0.5053
g178	148	316.52	0.4676
g179	255	613.55	0.4156
g180	98	117.33	0.8353
g181	273	417.99	0.6531
g182	9	11.51	0.7819
g183	78	173.6	0.4493
g184	78	212.85	0.3665
g185	5	21.26	0.2352
g186	26	52.59	0.4944
g187	418	697.44	0.5993
g188	228	314.44	0.7251
g189	30	32.65	0.9188
g190	194	281.34	0.6896
g191	177	275.27	0.643
g192	563	766.19	0.7348
g193	941	1134.27	0.8296
g194	10	17.16	0.5828
g195	211	229.19	0.9206
g196	57	73.46	0.7759
g197	210	284.43	0.7383
g198	58	49.2	1.1789
g199	6	30.24	0.1984
g200	12	16.2	0.7407
g201	508	623.54	0.8147
g202	925	1193.97	0.7747
g203	137	125.03	1.0957
g204	63	73.47	0.8575
g205	35	33.76	1.0367
g206	171	217.91	0.7847
g207	662	689.38	0.9603
g208	253	339.55	0.7451
g209	31	29.4	1.0544
g210	39	96.31	0.4049
g211	66	142.63	0.4627
g212	30	58.82	0.51
g213	213	220.46	0.9662
g214	22	30.15	0.7297
g215	699	1610.59	0.434
g216	62	115.09	0.5387
tRNA-Thr7_gene	1	5.01	0.1996
tRNA-Thr8_gene	1	4.75	0.2105
tRNA-Thr24_gene	1	5.25	0.1905
tRNA-Thr23_gene	4	6.42	0.6231
tRNA-Thr22_gene	1	5.25	0.1905
tRNA-Thr21_gene	4	6.42	0.6231
tRNA-Thr20_gene	1	5.25	0.1905
tRNA-Thr19_gene	4	6.42	0.6231
tRNA-Thr18_gene	1	5.25	0.1905
tRNA-Thr17_gene	4	6.42	0.6231
tRNA-Thr16_gene	1	4.96	0.2016
tRNA-Thr15_gene	4	6.42	0.6231
tRNA-Thr14_gene	1	5.25	0.1905
tRNA-Thr13_gene	3	5.83	0.5146
tRNA-Thr12_gene	1	4.96	0.2016
tRNA-Thr11_gene	3	6.11	0.491
tRNA-Thr10_gene	1	4.96	0.2016
tRNA-Thr9_gene	4	6.63	0.6033
g217	1521	1973.28	0.7708
g218	142	270.29	0.5254
g219	34	45.31	0.7504
g220	90	91.45	0.9841
g221	100	114.0	0.8772
g222	1160	1723.29	0.6731
g223	39	50.65	0.77
g224	214	277.68	0.7707
g225	131	129.43	1.0121
g226	399	403.77	0.9882
g227	252	255.79	0.9852
g228	311	543.57	0.5721
g229	13	14.92	0.8713
g230	43	104.29	0.4123
g231	524	621.69	0.8429
g232	65	162.51	0.4
g233	38	115.29	0.3296
g234	13	49.82	0.2609
g235	145	146.58	0.9892
g236	74	79.72	0.9282
g237	73	179.72	0.4062
g238	124	241.83	0.5128
g239	29	92.31	0.3142
g240	103	135.49	0.7602
g241	52	65.54	0.7934
g242	52	62.0	0.8387
g243	143	213.31	0.6704
g244	56	190.81	0.2935
g245	20	30.08	0.6649
g246	56	165.82	0.3377
g247	33	104.05	0.3172
g248	80	77.47	1.0327
g249	147	382.44	0.3844
g250	63	179.64	0.3507
g251	112	132.75	0.8437
g252	43	112.84	0.3811
g253	158	307.75	0.5134
g254	149	209.72	0.7105
g255	58	75.43	0.7689
g256	52	105.15	0.4945
g257	173	318.16	0.5438
g258	187	272.73	0.6857
g259	79	81.39	0.9706
g260	34	71.65	0.4745
g261	48	115.04	0.4172
g262	58	130.33	0.445
g263	48	127.9	0.3753
g264	179	204.42	0.8756
g265	25	42.9	0.5828
g266	165	230.37	0.7162
g267	29	50.91	0.5696
g268	153	154.61	0.9896
g269	41	40.92	1.002
g270	278	471.3	0.5899
g271	7	18.55	0.3774
g272	18	24.62	0.7311
g273	80	83.97	0.9527
g274	29	30.39	0.9543
g275	216	331.52	0.6515
g276	225	229.01	0.9825
g277	237	244.7	0.9685
g278	43	119.68	0.3593
g279	134	365.17	0.367
g280	362	452.25	0.8004
g281	170	166.64	1.0202
g282	382	566.27	0.6746
g283	56	63.04	0.8883
g284	4	12.75	0.3137
g285	408	447.42	0.9119
g286	176	191.76	0.9178
g287	170	185.09	0.9185
g288	122	183.9	0.6634
g289	65	93.28	0.6968
g290	36	53.66	0.6709
g291	58	162.86	0.3561
g292	128	210.33	0.6086
g293	164	169.46	0.9678
g294	13	60.71	0.2141
g295	82	156.65	0.5235
g296	40	46.14	0.8669
g297	88	219.13	0.4016
g298	273	460.59	0.5927
g299	111	221.22	0.5018
g300	47	38.81	1.211
g301	53	60.52	0.8757
g302	102	164.56	0.6198
g303	463	528.55	0.876
g304	250	198.71	1.2581
g305	146	132.63	1.1008
g306	503	602.38	0.835
g307	125	240.93	0.5188
g308	4	15.0	0.2667
g309	79	226.4	0.3489
g310	30	29.46	1.0183
g311	29	41.87	0.6926
g312	49	93.96	0.5215
g313	113	213.48	0.5293
g314	103	350.83	0.2936
g315	25	36.53	0.6844
g316	29	29.63	0.9787
g317	68	75.7	0.8983
g318	39	94.24	0.4138
g319	42	63.37	0.6628
g320	77	128.25	0.6004
g321	136	311.04	0.4372
g322	72	138.19	0.521
g323	229	378.56	0.6049
g324	100	108.11	0.925
g325	410	324.7	1.2627
g326	197	191.03	1.0313
g327	554	561.16	0.9872
g328	129	241.93	0.5332
g329	666	781.03	0.8527
g330	236	328.6	0.7182
g331	67	101.44	0.6605
g332	146	132.31	1.1035
g333	6	10.22	0.5871
g334	45	49.7	0.9054
g335	213	201.97	1.0546
g336	165	199.91	0.8254
g337	27	23.55	1.1465
g338	28	23.49	1.192
g339	19	62.59	0.3036
g340	90	186.89	0.4816
g341	74	113.77	0.6504
g342	114	290.58	0.3923
g343	95	107.13	0.8868
g344	103	125.22	0.8226
g345	6	15.44	0.3886
g346	9	16.72	0.5383
g347	38	65.66	0.5787
g348	17	20.22	0.8408
g349	102	102.18	0.9982
g350	38	46.74	0.813
g351	158	174.35	0.9062
g352	147	162.88	0.9025
g353	78	89.38	0.8727
g354	47	51.1	0.9198
g355	181	281.21	0.6436
g356	95	219.64	0.4325
g357	148	627.18	0.236
g358	126	239.09	0.527
g359	377	885.73	0.4256
g360	53	129.51	0.4092
g361	56	137.04	0.4086
g362	265	515.58	0.514
g363	145	225.41	0.6433
g364	38	38.79	0.9796
g365	64	57.25	1.1179
g366	199	360.62	0.5518
g367	88	261.3	0.3368
g368	37	82.85	0.4466
g369	43	99.72	0.4312
g370	762	1468.05	0.5191
g371	91	183.78	0.4952
g372	23	20.35	1.1302
g373	16	17.8	0.8989
g374	61	81.33	0.75
g375	12	14.02	0.8559
g376	47	52.75	0.891
g377	52	60.8	0.8553
g378	121	164.95	0.7336
g379	36	66.47	0.5416
g380	24	91.48	0.2624
g381	65	167.22	0.3887
g382	61	63.82	0.9558
g383	48	41.75	1.1497
g384	60	57.95	1.0354
g385	89	81.58	1.091
g386	155	137.09	1.1306
g387	57	85.43	0.6672
g388	67	63.9	1.0485
g389	105	102.62	1.0232
g390	59	52.44	1.1251
g391	51	89.16	0.572
g392	24	36.75	0.6531
g393	36	68.06	0.5289
g394	32	39.84	0.8032
g395	95	230.97	0.4113
g397	29	27.91	1.0391
g398	577	649.99	0.8877
g399	479	471.1	1.0168
g400	765	809.45	0.9451
g401	132	274.23	0.4813
g402	57	136.51	0.4176
g403	317	397.91	0.7967
g404	182	275.86	0.6598
g405	13	34.58	0.3759
g406	151	191.96	0.7866
g407	74	179.88	0.4114
g408	159	207.04	0.768
g409	90	167.69	0.5367
g410	398	431.91	0.9215
g411	308	381.31	0.8077
g412	38	55.78	0.6812
g413	323	312.64	1.0331
g414	56	50.97	1.0987
g415	19	54.46	0.3489
g416	63	64.31	0.9796
g417	52	53.24	0.9767
g418	55	58.75	0.9362
g419	468	921.43	0.5079
g420	10	16.9	0.5917
g421	115	138.69	0.8292
g422	48	63.63	0.7544
g423	10	19.18	0.5214
g424	30	34.2	0.8772
g425	470	817.65	0.5748
g426	46	111.45	0.4127
g427	46	84.76	0.5427
g428	376	347.68	1.0815
g429	127	198.72	0.6391
g430	82	169.96	0.4825
g431	4	10.83	0.3693
g432	144	218.02	0.6605
g433	158	159.44	0.991
g434	167	324.23	0.5151
g435	131	271.49	0.4825
g436	40	144.99	0.2759
g437	56	51.8	1.0811
g438	39	88.18	0.4423
g439	128	321.82	0.3977
g440	66	101.0	0.6535
g441	20	22.47	0.8901
g442	80	99.5	0.804
g443	19	45.66	0.4161
g444	31	64.68	0.4793
g445	102	128.96	0.7909
g446	181	191.35	0.9459
g447	384	372.24	1.0316
g448	122	219.23	0.5565
g449	255	284.24	0.8971
g450	119	129.76	0.9171
g451	10	41.63	0.2402
g453	11	53.33	0.2063
g454	9	16.49	0.5458
g455	61	147.74	0.4129
g456	11	41.05	0.268
g457	77	211.71	0.3637
g458	190	320.84	0.5922
g459	375	559.29	0.6705
g460	4	19.85	0.2015
g461	7	19.07	0.3671
g462	2	17.75	0.1127
g463	4	7.7	0.5195
g464	40	86.98	0.4599
g465	47	76.12	0.6174
g466	141	195.47	0.7213
g467	170	215.19	0.79
g468	58	46.09	1.2584
g469	108	217.07	0.4975
g470	3	13.73	0.2185
g471	22	72.89	0.3018
g472	13	22.32	0.5824
g473	149	282.58	0.5273
g474	151	162.23	0.9308
g475	228	212.28	1.0741
g476	29	27.82	1.0424
g477	22	23.79	0.9248
g478	46	83.9	0.5483
g479	97	263.88	0.3676
g480	461	443.43	1.0396
g481	125	134.9	0.9266
g482	30	28.33	1.0589
g483	216	221.3	0.9761
g484	74	194.32	0.3808
g485	44	71.18	0.6182
g486	466	543.64	0.8572
g487	18	44.19	0.4073
g488	322	531.39	0.606
g489	272	466.3	0.5833
g490	252	241.39	1.044
g491	321	312.11	1.0285
g492	53	99.49	0.5327
g493	984	1313.83	0.749
g494	51	77.42	0.6587
g495	93	105.93	0.8779
g496	48	51.64	0.9295
g497	42	63.87	0.6576
g498	27	36.85	0.7327
g499	28	39.79	0.7037
g500	28	107.01	0.2617
g501	154	188.99	0.8149
g502	312	363.03	0.8594
g503	27	30.49	0.8855
g504	65	60.1	1.0815
g505	72	156.03	0.4614
g507	111	117.66	0.9434
g508	18	51.62	0.3487
g509	138	406.69	0.3393
g510	104	217.07	0.4791
g511	37	62.72	0.5899
g512	126	148.59	0.848
g513	305	333.02	0.9159
g514	12	33.43	0.359
g515	112	136.69	0.8194
g516	8	25.81	0.31
g517	12	14.75	0.8136
g518	58	69.59	0.8335
g519	28	26.31	1.0642
g520	74	81.62	0.9066
g521	63	77.34	0.8146
g522	124	161.22	0.7691
g523	49	69.94	0.7006
g524	195	249.67	0.781
g525	28	44.2	0.6335
g526	30	36.42	0.8237
g527	26	34.79	0.7473
g528	48	64.68	0.7421
g529	567	745.25	0.7608
g530	109	160.41	0.6795
g531	333	475.06	0.701
g532	234	235.27	0.9946
g533	288	307.82	0.9356
g534	87	106.03	0.8205
g535	97	159.23	0.6092
g536	131	219.24	0.5975
tRNA-Ser26_gene	9	6.34	1.4196
g537	73	115.6	0.6315
g538	81	157.79	0.5133
g539	27	29.15	0.9262
g540	59	104.91	0.5624
g541	14	57.54	0.2433
g542	5	20.86	0.2397
g543	7	23.43	0.2988
g544	138	242.61	0.5688
g545	218	225.23	0.9679
g546	73	160.29	0.4554
g547	89	113.4	0.7848
g548	113	143.21	0.7891
g549	13	11.08	1.1733
g550	106	125.57	0.8442
g551	34	43.68	0.7784
g552	331	522.44	0.6336
g553	30	66.09	0.4539
g554	10	18.35	0.545
g555	44	183.15	0.2402
g556	222	338.82	0.6552
g557	405	396.31	1.0219
g558	226	286.76	0.7881
g559	89	206.36	0.4313
g560	798	1102.35	0.7239
g561	4	13.6	0.2941
g562	25	29.6	0.8446
g563	260	663.52	0.3918
g564	125	178.59	0.6999
g565	25	55.94	0.4469
g566	582	603.21	0.9648
g567	361	585.8	0.6163
g568	69	66.47	1.0381
g569	285	308.42	0.9241
g570	177	177.17	0.999
g571	171	187.66	0.9112
g572	24	26.7	0.8989
g573	15	16.26	0.9225
g574	25	40.92	0.6109
g575	24	25.06	0.9577
g576	112	248.09	0.4514
g577	64	122.61	0.522
g578	28	28.94	0.9675
g579	24	25.11	0.9558
g580	47	99.14	0.4741
g581	33	89.87	0.3672
g582	130	277.94	0.4677
g583	630	757.4	0.8318
g584	562	879.73	0.6388
g585	29	34.24	0.847
g586	248	272.53	0.91
g587	244	290.19	0.8408
g588	15	22.34	0.6714
g589	12	15.78	0.7605
g590	23	24.05	0.9563
g591	11	28.77	0.3823
g592	16	69.17	0.2313
g593	16	27.29	0.5863
g594	17	21.52	0.79
g595	451	440.58	1.0237
g596	218	213.69	1.0202
g597	76	99.56	0.7634
g598	131	175.97	0.7444
g599	5	21.28	0.235
g600	5	7.97	0.6274
g601	164	288.18	0.5691
g602	235	340.74	0.6897
g603	520	523.94	0.9925
g604	307	421.4	0.7285
tRNA-Lys27_gene	4	5.18	0.7722
tRNA-Lys28_gene	4	5.18	0.7722
tRNA-Lys29_gene	4	5.18	0.7722
tRNA-Lys30_gene	4	5.18	0.7722
tRNA-Lys31_gene	4	5.18	0.7722
tRNA-Lys32_gene	4	5.18	0.7722
tRNA-Lys33_gene	4	5.18	0.7722
tRNA-Lys34_gene	4	5.18	0.7722
tRNA-Lys35_gene	4	5.47	0.7313
g605	442	506.76	0.8722
g606	429	483.8	0.8867
g607	2	30.92	0.0647
g608	203	336.11	0.604
g609	13	40.54	0.3207
g610	44	38.23	1.1509
g611	58	156.66	0.3702
g612	49	84.55	0.5795
g613	25	27.74	0.9012
g614	341	351.49	0.9702
g615	304	305.04	0.9966
g616	24	25.81	0.9299
g617	164	191.25	0.8575
g618	348	460.4	0.7559
g619	84	140.78	0.5967
g620	67	195.47	0.3428
g621	119	142.42	0.8356
g622	164	176.4	0.9297
g623	120	140.34	0.8551
g624	138	145.81	0.9464
g625	95	115.86	0.82
g626	518	651.13	0.7955
g627	317	402.47	0.7876
g628	390	430.61	0.9057
g629	45	55.65	0.8086
g630	54	128.42	0.4205
g631	3	14.63	0.2051
g632	39	49.39	0.7896
g634	48	114.18	0.4204
g635	81	107.67	0.7523
g636	385	478.08	0.8053
g637	476	601.05	0.7919
g638	68	115.03	0.5912
g639	39	80.08	0.487
g640	90	130.32	0.6906
g641	319	466.55	0.6837
g642	55	74.1	0.7422
g643	63	95.4	0.6604
g644	180	407.07	0.4422
g645	38	91.53	0.4152
g646	133	305.64	0.4352
g647	100	137.31	0.7283
g648	104	195.96	0.5307
g649	133	347.13	0.3831
g650	11	23.63	0.4655
g651	48	115.53	0.4155
g652	110	296.57	0.3709
g653	27	40.16	0.6723
g654	48	136.07	0.3528
g655	18	75.5	0.2384
g656	18	18.48	0.974
g657	135	187.38	0.7205
g658	233	512.63	0.4545
g659	24	25.98	0.9238
g660	128	371.76	0.3443
g661	71	223.05	0.3183
g662	146	320.09	0.4561
g663	27	49.45	0.546
g664	127	172.66	0.7355
g665	214	449.49	0.4761
g666	572	604.62	0.946
g667	63	96.96	0.6498
g668	181	335.15	0.5401
g669	39	77.88	0.5008
g670	42	134.6	0.312
g671	9	19.69	0.4571
g672	57	84.89	0.6715
g673	41	71.3	0.575
g674	26	42.61	0.6102
g675	108	243.99	0.4426
g676	13	24.67	0.527
g677	34	41.22	0.8248
g678	84	108.35	0.7753
g679	9	21.4	0.4206
g680	46	48.02	0.9579
g681	91	97.49	0.9334
g682	407	476.66	0.8539
g683	350	379.17	0.9231
g684	57	182.5	0.3123
g685	79	208.11	0.3796
g686	206	285.55	0.7214
g687	48	109.62	0.4379
g688	43	47.82	0.8992
g689	100	230.1	0.4346
g690	50	101.97	0.4903
g691	360	1011.77	0.3558
g692	125	142.01	0.8802
g693	127	126.35	1.0051
g694	130	163.75	0.7939
g695	184	454.11	0.4052
g696	81	148.71	0.5447
g697	85	185.17	0.459
g698	21	22.93	0.9158
g699	594	658.5	0.9021
g700	13	13.11	0.9916
g701	330	299.7	1.1011
g702	1690	2198.99	0.7685
g703	74	158.05	0.4682
g704	170	348.47	0.4878
g705	439	445.03	0.9865
g706	17	24.02	0.7077
g707	406	451.77	0.8987
g708	672	971.97	0.6914
g709	32	62.25	0.5141
g710	84	209.28	0.4014
g711	98	117.91	0.8311
g712	42	41.27	1.0177
g713	44	36.46	1.2068
g714	56	66.63	0.8405
g715	6	16.88	0.3555
g716	5	14.23	0.3514
g717	80	114.06	0.7014
g718	39	50.71	0.7691
g719	25	24.59	1.0167
g720	25	33.09	0.7555
g721	17	46.94	0.3622
g722	226	329.9	0.6851
g723	72	118.71	0.6065
g724	116	143.99	0.8056
g725	55	131.56	0.4181
g726	36	83.8	0.4296
g727	67	62.35	1.0746
g728	1036	1422.86	0.7281
g729	51	93.36	0.5463
g730	387	509.18	0.76
g731	38	56.4	0.6738
g732	30	26.42	1.1355
g733	20	16.16	1.2376
g734	420	502.25	0.8362
g735	419	435.26	0.9626
g736	263	386.0	0.6813
g737	90	144.38	0.6234
g738	246	269.31	0.9134
g739	107	223.61	0.4785
g740	150	187.62	0.7995
g741	136	153.75	0.8846
g742	77	95.19	0.8089
g743	104	93.46	1.1128
g744	144	168.18	0.8562
g745	30	31.15	0.9631
g746	224	249.58	0.8975
g747	125	415.89	0.3006
g748	4	13.05	0.3065
g749	39	43.94	0.8876
g751	51	141.03	0.3616
g752	35	39.38	0.8888
g753	24	30.04	0.7989
g754	233	419.74	0.5551
g755	35	142.61	0.2454
g756	22	26.79	0.8212
g757	261	311.88	0.8369
g758	486	610.1	0.7966
g759	25	28.57	0.875
g760	111	162.97	0.6811
g761	146	207.92	0.7022
g762	287	257.29	1.1155
g763	103	114.16	0.9022
g764	69	77.12	0.8947
g765	69	66.97	1.0303
g766	731	808.96	0.9036
g767	361	679.54	0.5312
g768	58	66.48	0.8724
g769	238	283.66	0.839
g770	2	14.78	0.1353
g771	28	74.83	0.3742
g772	82	282.72	0.29
g773	15	37.1	0.4043
g774	91	219.65	0.4143
g775	79	154.81	0.5103
g776	34	102.62	0.3313
g777	13	25.51	0.5096
g778	141	155.18	0.9086
g779	30	71.25	0.4211
g780	793	995.16	0.7969
g781	34	38.49	0.8833
g782	337	442.19	0.7621
g783	68	87.54	0.7768
g784	87	94.42	0.9214
g785	38	72.74	0.5224
g786	25	72.79	0.3435
g787	255	405.86	0.6283
g788	215	246.18	0.8733
g789	6	11.51	0.5213
g790	32	28.98	1.1042
g791	29	30.43	0.953
g792	28	39.03	0.7174
g793	58	114.43	0.5069
g794	328	389.21	0.8427
g795	54	186.53	0.2895
g796	29	29.52	0.9824
g797	30	36.97	0.8115
g798	122	284.99	0.4281
g799	205	414.06	0.4951
g800	352	350.94	1.003
g801	331	371.32	0.8914
g802	100	141.69	0.7058
g803	119	125.72	0.9465
g804	321	354.99	0.9043
g805	314	295.02	1.0643
g806	140	164.3	0.8521
g807	73	84.66	0.8623
g808	50	52.32	0.9557
g809	30	53.8	0.5576
g810	1	11.6	0.0862
g811	134	157.91	0.8486
g812	49	138.01	0.355
g813	193	406.78	0.4745
g814	317	523.48	0.6056
g815	86	205.79	0.4179
g816	239	260.81	0.9164
g817	490	701.99	0.698
g818	130	279.25	0.4655
g819	8	30.41	0.2631
g820	310	353.93	0.8759
g821	48	53.51	0.897
g822	12	18.73	0.6407
g823	15	16.12	0.9305
g824	210	222.0	0.9459
g825	235	302.01	0.7781
g826	130	189.27	0.6868
g827	26	39.67	0.6554
g828	194	238.71	0.8127
g829	120	206.95	0.5799
g830	319	616.5	0.5174
g831	52	53.24	0.9767
g832	53	53.89	0.9835
g833	104	211.02	0.4928
g834	42	41.26	1.0179
g835	330	511.02	0.6458
g836	4	9.2	0.4348
g837	45	77.04	0.5841
g838	96	188.72	0.5087
g839	56	55.16	1.0152
g840	213	250.35	0.8508
g841	79	73.53	1.0744
g842	235	250.78	0.9371
g843	20	21.57	0.9272
g844	288	314.54	0.9156
g845	17	25.29	0.6722
g846	46	47.65	0.9654
g847	31	25.77	1.2029
g848	21	28.4	0.7394
g849	71	154.73	0.4589
g850	94	184.21	0.5103
g851	847	1495.36	0.5664
g852	231	239.49	0.9645
g853	51	61.35	0.8313
g854	6	14.55	0.4124
g855	31	47.15	0.6575
g856	32	43.73	0.7318
g857	137	283.13	0.4839
g858	15	33.05	0.4539
g859	17	45.76	0.3715
g860	45	189.31	0.2377
g861	99	206.44	0.4796
g862	435	662.36	0.6567
g863	76	143.77	0.5286
g864	43	96.47	0.4457
g865	46	121.08	0.3799
g866	19	70.69	0.2688
g867	535	658.39	0.8126
g868	125	125.34	0.9973
g869	47	188.36	0.2495
g870	38	83.78	0.4536
g871	23	47.47	0.4845
g872	512	721.23	0.7099
g873	39	75.03	0.5198
g874	178	344.52	0.5167
g875	111	288.76	0.3844
g876	80	136.51	0.586
g877	416	506.34	0.8216
g878	149	162.93	0.9145
g879	84	174.93	0.4802
g880	153	130.37	1.1736
g881	66	125.09	0.5276
g882	46	38.08	1.208
g883	13	37.55	0.3462
g884	311	453.4	0.6859
g885	18	25.35	0.7101
g886	31	42.71	0.7258
g887	59	82.78	0.7127
g888	34	58.45	0.5817
g889	321	388.04	0.8272
tRNA-Leu36_gene	6	9.0	0.6667
g890	37	47.41	0.7804
g891	2	5.6	0.3571
g892	75	130.62	0.5742
g893	59	104.07	0.5669
g894	44	61.9	0.7108
g895	384	448.31	0.8566
g896	58	63.41	0.9147
g897	118	132.3	0.8919
g898	186	222.99	0.8341
g899	45	105.23	0.4276
g900	30	34.24	0.8762
g901	795	805.05	0.9875
g902	109	121.79	0.895
g903	85	118.29	0.7186
g904	336	441.38	0.7612
g905	191	403.66	0.4732
g906	22	29.05	0.7573
g907	65	58.19	1.117
g908	397	472.94	0.8394
g909	62	181.3	0.342
g910	27	27.96	0.9657
g911	26	106.28	0.2446
g912	349	418.32	0.8343
g913	212	235.09	0.9018
g914	299	331.52	0.9019
g915	20	21.65	0.9238
g916	14	42.87	0.3266
g917	43	52.73	0.8155
g918	22	27.59	0.7974
tRNA-Arg38_gene	5	5.59	0.8945
tRNA-Arg37_gene	5	5.35	0.9346
g919	238	311.71	0.7635
g920	486	456.46	1.0647
g921	14	21.78	0.6428
g922	385	513.63	0.7496
g923	39	50.83	0.7673
g924	89	97.4	0.9138
g925	37	60.58	0.6108
g926	32	34.99	0.9145
g927	15	18.5	0.8108
g928	111	191.65	0.5792
g929	51	64.67	0.7886
g930	21	34.27	0.6128
g931	392	641.78	0.6108
g932	41	68.81	0.5958
g933	79	152.23	0.519
g934	49	163.83	0.2991
g935	188	278.66	0.6747
g936	782	897.78	0.871
g937	186	393.93	0.4722
g938	59	139.8	0.422
g939	301	289.62	1.0393
g940	38	46.47	0.8177
g941	132	172.92	0.7634
g942	18	18.86	0.9544
